LANE_ID,LOAD_ORI,IB_LOAD_TYPE,DISPATCH_SEQ,CUBE,SHIPMENTS,PU DATE
FSD-NEW,MCI,B,3,515.05,1,8/20/2025 0:00
OMA-NEW,MCI,B,3,99.28,1,8/28/2025 0:00
FSD-NEW,MCI,B,4,106.41,1,8/25/2025 0:00
FSD-NEW,MCI,B,4,515.05,1,8/20/2025 0:00
FSD-NEW,MCI,B,4,81.37,1,8/26/2025 0:00
OMA-NEW,MCI,B,2,99.28,1,8/28/2025 0:00
FSD-NEW,MCI,B,3,81.37,1,8/26/2025 0:00
FSD-NEW,MCI,B,3,106.41,1,8/25/2025 0:00
MCI-NEW,MCI,O,2,53.65,1,8/20/2025 0:00
MCI-NEW,MCI,O,2,210.63,5,8/25/2025 0:00
MCI-NEW,MCI,O,2,149.94,2,8/22/2025 0:00
MCI-NEW,MCI,O,2,35.28,1,8/26/2025 0:00
RAP-NEW,MCI,B,6,18.95,1,8/22/2025 0:00
RAP-NEW,MCI,B,5,18.95,1,8/22/2025 0:00
MCI-NEW,MCI,O,1,210.63,5,8/25/2025 0:00
MCI-NEW,MCI,O,1,149.94,2,8/22/2025 0:00
MCI-NEW,MCI,O,1,35.28,1,8/26/2025 0:00
MCI-NEW,MCI,O,1,60.78,3,8/27/2025 0:00
MCI-NEW,MCI,O,1,64.47,2,8/28/2025 0:00
MCI-NEW,MCI,O,1,53.65,1,8/20/2025 0:00
KRN-NEW,MCI,B,3,42.43,1,8/28/2025 0:00
KRN-NEW,MCI,B,3,65.16,1,8/20/2025 0:00
KRN-NEW,MCI,B,4,42.43,1,8/28/2025 0:00
KRN-NEW,MCI,B,4,65.16,1,8/20/2025 0:00
MCI-NEW,MCI,O,2,60.78,3,8/27/2025 0:00
MCI-NEW,MCI,O,2,64.47,2,8/28/2025 0:00
EVR-PEN,MCI,B,4,10.02,1,8/28/2025 0:00
EVR-PEN,MCI,B,5,10.02,1,8/28/2025 0:00
PCA-PEN,MCI,B,6,25.56,1,8/21/2025 0:00
PCA-PEN,MCI,B,7,25.56,1,8/21/2025 0:00
BOI-PEN,MCI,B,2,39.48,1,8/26/2025 0:00
OMA-PEN,MCI,B,2,15.38,1,8/25/2025 0:00
BOI-PEN,MCI,B,3,39.48,1,8/26/2025 0:00
OMA-PEN,MCI,B,3,15.38,1,8/25/2025 0:00
GEG-PEN,MCI,B,9,108.14,1,8/26/2025 0:00
GEG-PEN,MCI,B,10,108.14,1,8/26/2025 0:00
MCI-PEN,MCI,O,1,29.6,1,8/20/2025 0:00
MCI-PEN,MCI,O,2,29.6,1,8/20/2025 0:00
FSD-MON,MCI,B,4,114.57,2,8/22/2025 0:00
FSD-MON,MCI,B,3,114.57,2,8/22/2025 0:00
MCI-MON,MCI,O,2,57.72,1,8/22/2025 0:00
MCI-MON,MCI,O,2,314.71,2,8/29/2025 0:00
MCI-MON,MCI,O,1,314.71,2,8/29/2025 0:00
MCI-MON,MCI,O,1,50.1,1,8/25/2025 0:00
MCI-MON,MCI,O,1,121.84,1,8/27/2025 0:00
MCI-MON,MCI,O,1,57.72,1,8/22/2025 0:00
MCI-MON,MCI,O,2,50.1,1,8/25/2025 0:00
MCI-MON,MCI,O,2,121.84,1,8/27/2025 0:00
OMA-BIR,MCI,B,3,9.6,1,8/27/2025 0:00
FSD-BIR,MCI,B,4,43.56,1,8/27/2025 0:00
FSD-BIR,MCI,B,3,43.56,1,8/27/2025 0:00
FSD-BIR,MCI,B,3,11.2,1,8/26/2025 0:00
FSD-BIR,MCI,B,3,173.99,3,8/20/2025 0:00
FSD-BIR,MCI,B,4,11.2,1,8/26/2025 0:00
FSD-BIR,MCI,B,4,173.99,3,8/20/2025 0:00
BZN-BIR,MCI,B,9,40.06,1,8/29/2025 0:00
ATY-BIR,MCI,B,5,106.92,1,8/26/2025 0:00
ATY-BIR,MCI,B,4,162.71,1,8/22/2025 0:00
ATY-BIR,MCI,B,4,66.01,1,8/25/2025 0:00
ATY-BIR,MCI,B,4,106.92,1,8/26/2025 0:00
BZN-BIR,MCI,B,8,40.06,1,8/29/2025 0:00
OMA-BIR,MCI,B,2,9.6,1,8/27/2025 0:00
RAP-BIR,MCI,B,5,166.38,3,8/20/2025 0:00
RAP-BIR,MCI,B,5,57.64,1,8/21/2025 0:00
PDX-BIR,MCI,B,5,80.55,1,8/22/2025 0:00
PDX-BIR,MCI,B,6,80.55,1,8/22/2025 0:00
ATY-BIR,MCI,B,5,162.71,1,8/22/2025 0:00
ATY-BIR,MCI,B,5,66.01,1,8/25/2025 0:00
SEA-BIR,MCI,B,6,87.66,1,8/22/2025 0:00
SEA-BIR,MCI,B,5,87.66,1,8/22/2025 0:00
GEG-BIR,MCI,B,9,159.97,1,8/20/2025 0:00
GEG-BIR,MCI,B,10,159.97,1,8/20/2025 0:00
RAP-BIR,MCI,B,6,57.64,1,8/21/2025 0:00
RAP-BIR,MCI,B,6,166.38,3,8/20/2025 0:00
MCI-BIR,MCI,O,1,326.06,4,8/25/2025 0:00
MCI-BIR,MCI,O,1,398.34,3,8/21/2025 0:00
MCI-BIR,MCI,O,1,61.15,2,8/28/2025 0:00
MCI-BIR,MCI,O,2,492,3,8/26/2025 0:00
MCI-BIR,MCI,O,1,490.51,2,8/22/2025 0:00
MCI-BIR,MCI,O,1,222.9,1,8/27/2025 0:00
MCI-BIR,MCI,O,2,398.34,3,8/21/2025 0:00
MCI-BIR,MCI,O,2,61.15,2,8/28/2025 0:00
MCI-BIR,MCI,O,2,490.51,2,8/22/2025 0:00
MCI-BIR,MCI,O,2,222.9,1,8/27/2025 0:00
MCI-BIR,MCI,O,1,492,3,8/26/2025 0:00
MCI-BIR,MCI,O,1,64.41,4,8/20/2025 0:00
MCI-BIR,MCI,O,2,64.41,4,8/20/2025 0:00
MCI-BIR,MCI,O,2,326.06,4,8/25/2025 0:00
FSD-WAA,MCI,B,4,84.81,1,8/22/2025 0:00
OMA-WAA,MCI,B,3,26.25,1,8/21/2025 0:00
OMA-WAA,MCI,B,3,272.34,2,8/22/2025 0:00
OMA-WAA,MCI,B,3,47.37,1,8/28/2025 0:00
OMA-WAA,MCI,B,3,682.85,1,8/26/2025 0:00
FSD-WAA,MCI,B,4,581.06,4,8/20/2025 0:00
SLC-WAA,MCI,B,6,131.69,1,8/28/2025 0:00
SLC-WAA,MCI,B,6,1067.82,3,8/26/2025 0:00
SLC-WAA,MCI,B,5,131.69,1,8/28/2025 0:00
SLC-WAA,MCI,B,5,1067.82,3,8/26/2025 0:00
PCA-WAA,MCI,B,7,102.62,1,8/25/2025 0:00
PCA-WAA,MCI,B,6,102.62,1,8/25/2025 0:00
MCI-WAA,MCI,O,2,180.01,4,8/29/2025 0:00
MCI-WAA,MCI,O,2,57.3,2,8/20/2025 0:00
MCI-WAA,MCI,O,2,168.81,2,8/27/2025 0:00
MCI-WAA,MCI,O,2,318.08,2,8/27/2025 0:00
MCI-WAA,MCI,O,2,211.39,4,8/22/2025 0:00
MCI-WAA,MCI,O,2,318.67,6,8/28/2025 0:00
MCI-WAA,MCI,O,1,318.08,2,8/27/2025 0:00
MCI-WAA,MCI,O,1,211.39,4,8/22/2025 0:00
MCI-WAA,MCI,O,1,57.3,2,8/20/2025 0:00
MCI-WAA,MCI,O,2,1386.01,10,8/25/2025 0:00
MCI-WAA,MCI,O,2,521.67,5,8/21/2025 0:00
MCI-WAA,MCI,O,2,462.38,7,8/26/2025 0:00
MCI-WAA,MCI,O,1,462.38,7,8/26/2025 0:00
MCI-WAA,MCI,O,1,180.01,4,8/29/2025 0:00
MCI-WAA,MCI,O,1,1386.01,10,8/25/2025 0:00
MCI-WAA,MCI,O,1,521.67,5,8/21/2025 0:00
GEG-WAA,MCI,B,9,13.88,1,8/21/2025 0:00
GEG-WAA,MCI,B,10,13.88,1,8/21/2025 0:00
SEA-WAA,MCI,B,6,42.08,1,8/26/2025 0:00
SEA-WAA,MCI,B,5,42.08,1,8/26/2025 0:00
MCI-WAA,MCI,O,1,318.67,6,8/28/2025 0:00
MCI-WAA,MCI,O,1,168.81,2,8/27/2025 0:00
PDX-WAA,MCI,B,5,73.06,1,8/25/2025 0:00
PDX-WAA,MCI,B,5,199.09,1,8/21/2025 0:00
RAP-WAA,MCI,B,6,37.89,1,8/20/2025 0:00
RAP-WAA,MCI,B,6,17.57,1,8/21/2025 0:00
RAP-WAA,MCI,B,6,357.67,1,8/29/2025 0:00
RAP-WAA,MCI,B,5,37.89,1,8/20/2025 0:00
PDX-WAA,MCI,B,6,73.06,1,8/25/2025 0:00
PDX-WAA,MCI,B,6,199.09,1,8/21/2025 0:00
RAP-WAA,MCI,B,5,17.57,1,8/21/2025 0:00
RAP-WAA,MCI,B,5,357.67,1,8/29/2025 0:00
PDX-WAA,MCI,B,5,92.53,1,8/22/2025 0:00
PDX-WAA,MCI,B,5,175.97,2,8/27/2025 0:00
ATY-WAA,MCI,B,4,245.88,3,8/25/2025 0:00
ATY-WAA,MCI,B,4,136.69,1,8/20/2025 0:00
ATY-WAA,MCI,B,5,245.88,3,8/25/2025 0:00
ATY-WAA,MCI,B,5,136.69,1,8/20/2025 0:00
PDX-WAA,MCI,B,6,92.53,1,8/22/2025 0:00
PDX-WAA,MCI,B,6,175.97,2,8/27/2025 0:00
MFR-WAA,MCI,B,6,23.09,1,8/27/2025 0:00
MFR-WAA,MCI,B,7,23.09,1,8/27/2025 0:00
GTF-WAA,MCI,B,9,14.31,2,8/20/2025 0:00
GTF-WAA,MCI,B,10,14.31,2,8/20/2025 0:00
HLN-WAA,MCI,B,8,126.25,2,8/25/2025 0:00
HLN-WAA,MCI,B,9,126.25,2,8/25/2025 0:00
FSD-WAA,MCI,B,3,84.81,1,8/22/2025 0:00
FSD-WAA,MCI,B,3,581.06,4,8/20/2025 0:00
OMA-WAA,MCI,B,2,682.85,1,8/26/2025 0:00
OMA-WAA,MCI,B,2,26.25,1,8/21/2025 0:00
OMA-WAA,MCI,B,2,272.34,2,8/22/2025 0:00
OMA-WAA,MCI,B,2,47.37,1,8/28/2025 0:00
FSD-JAC,MCI,B,4,45.72,1,8/21/2025 0:00
FSD-JAC,MCI,B,4,32.77,1,8/22/2025 0:00
FSD-JAC,MCI,B,4,81.83,1,8/25/2025 0:00
OMA-JAC,MCI,B,3,93.17,3,8/21/2025 0:00
OMA-JAC,MCI,B,3,205.49,3,8/28/2025 0:00
OMA-JAC,MCI,B,3,50.67,1,8/29/2025 0:00
FSD-JAC,MCI,B,3,32.77,1,8/22/2025 0:00
FSD-JAC,MCI,B,3,81.83,1,8/25/2025 0:00
OMA-JAC,MCI,B,2,50.67,1,8/29/2025 0:00
OMA-JAC,MCI,B,2,93.17,3,8/21/2025 0:00
OMA-JAC,MCI,B,2,205.49,3,8/28/2025 0:00
FSD-JAC,MCI,B,4,88.05,1,8/20/2025 0:00
PDX-JAC,MCI,B,6,72.98,1,8/27/2025 0:00
PDX-JAC,MCI,B,6,19.47,1,8/20/2025 0:00
PDX-JAC,MCI,B,5,72.98,1,8/27/2025 0:00
PDX-JAC,MCI,B,5,19.47,1,8/20/2025 0:00
FSD-JAC,MCI,B,3,88.05,1,8/20/2025 0:00
FSD-JAC,MCI,B,3,45.72,1,8/21/2025 0:00
SEA-JAC,MCI,B,5,7.09,1,8/21/2025 0:00
SEA-JAC,MCI,B,6,7.09,1,8/21/2025 0:00
GEG-JAC,MCI,B,9,10.58,1,8/27/2025 0:00
GEG-JAC,MCI,B,10,10.58,1,8/27/2025 0:00
RAP-JAC,MCI,B,6,6.94,1,8/25/2025 0:00
RAP-JAC,MCI,B,5,6.94,1,8/25/2025 0:00
SLC-JAC,MCI,B,6,58.45,2,8/21/2025 0:00
SLC-JAC,MCI,B,5,117.91,1,8/22/2025 0:00
SLC-JAC,MCI,B,5,117.91,1,8/29/2025 0:00
SLC-JAC,MCI,B,5,277.82,3,8/20/2025 0:00
MSO-JAC,MCI,B,9,43.23,1,8/27/2025 0:00
MSO-JAC,MCI,B,10,43.23,1,8/27/2025 0:00
SLC-JAC,MCI,B,6,117.91,1,8/22/2025 0:00
SLC-JAC,MCI,B,6,117.91,1,8/29/2025 0:00
SLC-JAC,MCI,B,5,48.66,2,8/28/2025 0:00
SLC-JAC,MCI,B,5,58.45,2,8/21/2025 0:00
SLC-JAC,MCI,B,6,277.82,3,8/20/2025 0:00
SLC-JAC,MCI,B,6,48.66,2,8/28/2025 0:00
MCI-JAC,MCI,O,1,152.1,3,8/21/2025 0:00
