LANE_ID,LOAD_DST,LOAD_DST_TYPE,DISPATCH_SEQ,CUBE,SHIPMENTS,PU_DATE
RAP-NEW,MCI,B,4,18.95,1,8/22/2025 0:00
RAP-NEW,MCI,B,2,18.95,1,8/22/2025 0:00
RAP-NEW,MCI,B,1,18.95,1,8/22/2025 0:00
RAP-NEW,MCI,B,3,18.95,1,8/22/2025 0:00
FSD-NEW,MCI,B,2,81.37,1,8/26/2025 0:00
OMA-NEW,MCI,B,1,99.28,1,8/28/2025 0:00
FSD-NEW,MCI,B,1,106.41,1,8/25/2025 0:00
FSD-NEW,MCI,B,1,515.05,1,8/20/2025 0:00
FSD-NEW,MCI,B,1,81.37,1,8/26/2025 0:00
KRN-NEW,MCI,B,2,65.16,1,8/20/2025 0:00
KRN-NEW,MCI,B,2,42.43,1,8/28/2025 0:00
KRN-NEW,MCI,B,1,65.16,1,8/20/2025 0:00
FSD-NEW,MCI,B,2,106.41,1,8/25/2025 0:00
FSD-NEW,MCI,B,2,515.05,1,8/20/2025 0:00
KRN-NEW,MCI,B,1,42.43,1,8/28/2025 0:00
BOI-PEN,MCI,B,1,39.48,1,8/26/2025 0:00
OMA-PEN,MCI,B,1,15.38,1,8/25/2025 0:00
EVR-PEN,MCI,B,3,10.02,1,8/28/2025 0:00
GEG-PEN,MCI,B,7,108.14,1,8/26/2025 0:00
GEG-PEN,MCI,B,8,108.14,1,8/26/2025 0:00
GEG-PEN,MCI,B,6,108.14,1,8/26/2025 0:00
GEG-PEN,MCI,B,5,108.14,1,8/26/2025 0:00
PCA-PEN,MCI,B,4,25.56,1,8/21/2025 0:00
PCA-PEN,MCI,B,2,25.56,1,8/21/2025 0:00
PCA-PEN,MCI,B,3,25.56,1,8/21/2025 0:00
PCA-PEN,MCI,B,5,25.56,1,8/21/2025 0:00
FSD-MON,MCI,B,1,114.57,2,8/22/2025 0:00
FSD-MON,MCI,B,2,114.57,2,8/22/2025 0:00
BZN-BIR,MCI,B,4,40.06,1,8/29/2025 0:00
BZN-BIR,MCI,B,6,40.06,1,8/29/2025 0:00
FSD-BIR,MCI,B,2,173.99,3,8/20/2025 0:00
FSD-BIR,MCI,B,2,11.2,1,8/26/2025 0:00
FSD-BIR,MCI,B,1,173.99,3,8/20/2025 0:00
FSD-BIR,MCI,B,1,11.2,1,8/26/2025 0:00
FSD-BIR,MCI,B,1,43.56,1,8/27/2025 0:00
OMA-BIR,MCI,B,1,9.6,1,8/27/2025 0:00
ATY-BIR,MCI,B,3,66.01,1,8/25/2025 0:00
ATY-BIR,MCI,B,3,106.92,1,8/26/2025 0:00
SEA-BIR,MCI,B,4,87.66,1,8/22/2025 0:00
PDX-BIR,MCI,B,4,80.55,1,8/22/2025 0:00
FSD-BIR,MCI,B,2,43.56,1,8/27/2025 0:00
GEG-BIR,MCI,B,5,159.97,1,8/20/2025 0:00
GEG-BIR,MCI,B,7,159.97,1,8/20/2025 0:00
ATY-BIR,MCI,B,2,162.71,1,8/22/2025 0:00
ATY-BIR,MCI,B,2,66.01,1,8/25/2025 0:00
ATY-BIR,MCI,B,2,106.92,1,8/26/2025 0:00
ATY-BIR,MCI,B,3,162.71,1,8/22/2025 0:00
RAP-BIR,MCI,B,4,166.38,3,8/20/2025 0:00
RAP-BIR,MCI,B,2,166.38,3,8/20/2025 0:00
RAP-BIR,MCI,B,1,166.38,3,8/20/2025 0:00
RAP-BIR,MCI,B,1,57.64,1,8/21/2025 0:00
GEG-BIR,MCI,B,8,159.97,1,8/20/2025 0:00
GEG-BIR,MCI,B,6,159.97,1,8/20/2025 0:00
BZN-BIR,MCI,B,7,40.06,1,8/29/2025 0:00
BZN-BIR,MCI,B,5,40.06,1,8/29/2025 0:00
RAP-BIR,MCI,B,4,57.64,1,8/21/2025 0:00
RAP-BIR,MCI,B,2,57.64,1,8/21/2025 0:00
RAP-BIR,MCI,B,3,57.64,1,8/21/2025 0:00
RAP-BIR,MCI,B,3,166.38,3,8/20/2025 0:00
SLC-WAA,MCI,B,1,131.69,1,8/28/2025 0:00
SLC-WAA,MCI,B,1,1067.82,3,8/26/2025 0:00
SLC-WAA,MCI,B,2,131.69,1,8/28/2025 0:00
SLC-WAA,MCI,B,2,1067.82,3,8/26/2025 0:00
SLC-WAA,MCI,B,4,1067.82,3,8/26/2025 0:00
SLC-WAA,MCI,B,4,131.69,1,8/28/2025 0:00
OMA-WAA,MCI,B,1,272.34,2,8/22/2025 0:00
OMA-WAA,MCI,B,1,47.37,1,8/28/2025 0:00
OMA-WAA,MCI,B,1,682.85,1,8/26/2025 0:00
OMA-WAA,MCI,B,1,26.25,1,8/21/2025 0:00
PDX-WAA,MCI,B,4,73.06,1,8/25/2025 0:00
PDX-WAA,MCI,B,4,199.09,1,8/21/2025 0:00
FSD-WAA,MCI,B,2,84.81,1,8/22/2025 0:00
FSD-WAA,MCI,B,2,581.06,4,8/20/2025 0:00
FSD-WAA,MCI,B,1,84.81,1,8/22/2025 0:00
FSD-WAA,MCI,B,1,581.06,4,8/20/2025 0:00
ATY-WAA,MCI,B,3,136.69,1,8/20/2025 0:00
ATY-WAA,MCI,B,3,245.88,3,8/25/2025 0:00
MFR-WAA,MCI,B,5,23.09,1,8/27/2025 0:00
SEA-WAA,MCI,B,4,42.08,1,8/26/2025 0:00
PDX-WAA,MCI,B,4,92.53,1,8/22/2025 0:00
PDX-WAA,MCI,B,4,175.97,2,8/27/2025 0:00
ATY-WAA,MCI,B,2,136.69,1,8/20/2025 0:00
ATY-WAA,MCI,B,2,245.88,3,8/25/2025 0:00
RAP-WAA,MCI,B,4,357.67,1,8/29/2025 0:00
RAP-WAA,MCI,B,2,17.57,1,8/21/2025 0:00
GEG-WAA,MCI,B,5,13.88,1,8/21/2025 0:00
GEG-WAA,MCI,B,7,13.88,1,8/21/2025 0:00
GEG-WAA,MCI,B,8,13.88,1,8/21/2025 0:00
GEG-WAA,MCI,B,6,13.88,1,8/21/2025 0:00
RAP-WAA,MCI,B,2,357.67,1,8/29/2025 0:00
RAP-WAA,MCI,B,2,37.89,1,8/20/2025 0:00
RAP-WAA,MCI,B,1,37.89,1,8/20/2025 0:00
RAP-WAA,MCI,B,1,17.57,1,8/21/2025 0:00
RAP-WAA,MCI,B,1,357.67,1,8/29/2025 0:00
RAP-WAA,MCI,B,4,37.89,1,8/20/2025 0:00
HLN-WAA,MCI,B,5,126.25,2,8/25/2025 0:00
HLN-WAA,MCI,B,4,126.25,2,8/25/2025 0:00
RAP-WAA,MCI,B,3,37.89,1,8/20/2025 0:00
RAP-WAA,MCI,B,3,17.57,1,8/21/2025 0:00
RAP-WAA,MCI,B,3,357.67,1,8/29/2025 0:00
RAP-WAA,MCI,B,4,17.57,1,8/21/2025 0:00
GTF-WAA,MCI,B,7,14.31,2,8/20/2025 0:00
GTF-WAA,MCI,B,8,14.31,2,8/20/2025 0:00
GTF-WAA,MCI,B,6,14.31,2,8/20/2025 0:00
GTF-WAA,MCI,B,5,14.31,2,8/20/2025 0:00
HLN-WAA,MCI,B,6,126.25,2,8/25/2025 0:00
HLN-WAA,MCI,B,7,126.25,2,8/25/2025 0:00
PCA-WAA,MCI,B,5,102.62,1,8/25/2025 0:00
PCA-WAA,MCI,B,4,102.62,1,8/25/2025 0:00
PCA-WAA,MCI,B,2,102.62,1,8/25/2025 0:00
PCA-WAA,MCI,B,3,102.62,1,8/25/2025 0:00
SLC-WAA,MCI,B,3,1067.82,3,8/26/2025 0:00
SLC-WAA,MCI,B,3,131.69,1,8/28/2025 0:00
SLC-JAC,MCI,B,1,48.66,2,8/28/2025 0:00
